Latitude	Longitude	Collisions	Street 1	Street 2
33.96	-118.3003	59	NORMANDIE AV	MANCHESTER AV
34.2214	-118.4699	72	ROSCOE BL	LANGDON AV
33.9747	-118.2827	88	FLORENCE AV	FIGUEROA ST
34.2355	-118.5361	104	RESEDA BL	NORDHOFF ST
34.1649	-118.375	51	LANKERSHIM BL	MAGNOLIA BL
34.2012	-118.4094	147	SHERMAN WY	BELLAIRE AV
34.0761	-118.3766	66	BEVERLY BL	LA CIENEGA BL
34.2428	-118.4675	53	SEPULVEDA BL	PLUMMER ST
34.2355	-118.605	60	TOPANGA CANYON BL	NORDHOFF ST
33.9892	-118.2915	123	SLAUSON AV	VERMONT AV
34.029	-118.4149	91	OVERLAND AV	NATIONAL BL
34.0445	-118.3764	101	LA CIENEGA BL	18TH ST
34.2084	-118.571	75	WINNETKA AV	SATICOY ST
34.0447	-118.3284	57	VENICE BL	CRENSHAW BL
34.0704	-118.2917	60	VERMONT AV	2ND ST
34.0256	-118.3177	58	ARLINGTON AV	JEFFERSON BL
34.0534	-118.3762	77	LA CIENEGA BL	PICO BL
34.0265	-118.4279	62	SEPULVEDA BL	NATIONAL BL
34.1939	-118.5011	68	BALBOA BL	VANOWEN ST
34.2428	-118.5361	75	RESEDA BL	PLUMMER ST
34.2354	-118.4502	85	NORDHOFF ST	VAN NUYS BL
34.0763	-118.3091	80	WESTERN AV	BEVERLY BL
34.2012	-118.4793	53	SHERMAN WY	GLORIA AV
34.1867	-118.4836	85	VICTORY BL	WOODLEY AV
34.0636	-118.3004	58	NORMANDIE AV	6TH ST
34.2012	-118.4662	129	SEPULVEDA BL	SHERMAN WY
34.2217	-118.4327	58	WOODMAN AV	ROSCOE BL
34.1236	-118.3775	72	LAUREL CANYON BL	MULHOLLAND DR
34.046	-118.3453	54	VENICE BL	LA BREA AV
34.2012	-118.4837	78	SHERMAN WY	WOODLEY AV
34.22	-118.5885	107	ROSCOE BL	DE SOTO AV
34.2201	-118.5798	53	ROSCOE BL	MASON AV
34.1985	-118.4662	52	SEPULVEDA BL	VOSE ST
34.194	-118.3965	71	LAUREL CANYON BL	VANOWEN ST
33.989	-118.3308	82	SLAUSON AV	CRENSHAW BL
34.3129	-118.4373	85	FOOTHILL BL	SAYRE ST
34.069	-118.3004	51	NORMANDIE AV	3RD ST
34.2012	-118.4662	196	SHERMAN WY	SEPULVEDA BL
34.1867	-118.4181	75	VICTORY BL	ETHEL AV
